time_before.tv_sec,time_before.tv_nsec,time_after.tv_sec,time_after.tv_nsec,stage1_voltage,stage2_voltage,stage3_voltage,stage1_length,stage2_length,discharge_threshold_low,discharge_threshold_high,year,month,dom,hour,minute,sec,ah100,ah,kwh100,kwh
1481107452,185661814,1481107453,185850199,142,138,132,4,17,105,120,2012,3,3,16,25,14,0,0,0,0
1481107511,256913775,1481107512,257097311,142,138,132,4,17,105,120,2012,3,3,16,26,13,0,0,0,0
1481107571,797173975,1481107572,797353397,142,138,132,4,17,105,120,2012,3,3,16,27,14,0,0,0,0
1481107631,556545902,1481107632,556729438,142,138,132,4,17,105,120,2012,3,3,16,28,14,0,0,0,0
1481107751,383226928,1481107752,383409214,142,138,132,4,17,105,120,2012,3,3,16,30,13,0,0,0,0
1481107812,164731828,1481107813,164894739,142,138,132,4,17,105,120,2012,3,3,16,31,14,0,0,0,0
1481107871,688227183,1481107872,688371761,142,138,132,4,17,105,120,2012,3,3,16,32,14,0,0,0,0
1481107931,383497240,1481107932,383643797,142,138,132,4,17,105,120,2012,3,3,16,33,13,0,0,0,0
1481107991,232741326,1481107992,232930851,142,138,132,4,17,105,120,2012,3,3,16,34,13,0,0,0,0
1481108053,151844096,1481108054,152054507,142,138,132,4,17,105,120,2012,3,3,16,35,15,0,0,0,0
1481108112,539942078,1481108113,540148374,142,138,132,4,17,105,120,2012,3,3,16,36,15,0,0,0,0
